tau,mmax
0.05,1.02
0.25060240963855424,1.02
0.4512048192771084,1.02
0.6518072289156627,1.02
0.8524096385542169,1.02
1.0530120481927712,1.02
1.2536144578313253,1.02
1.4542168674698797,1.02
1.6548192771084338,1.02
1.855421686746988,1.02
2.056024096385542,1.02
2.256626506024096,1.02
2.4572289156626503,1.02
2.6578313253012045,1.02
2.858433734939759,1.02
3.059036144578313,1.02
3.2596385542168673,1.02
3.4602409638554215,1.02
3.6608433734939756,1.02
3.86144578313253,1.02
4.062048192771084,1.02
4.2626506024096384,1.02
4.463253012048193,1.02
4.663855421686747,1.02
4.864457831325301,1.02
5.065060240963855,1.02
5.265662650602409,1.02
5.466265060240964,1.02
5.666867469879518,1.02
5.867469879518072,1.02
6.0680722891566266,1.02
6.268674698795181,1.02
6.469277108433735,1.02
6.669879518072289,0.9987951807228915
6.870481927710843,0.9891566265060241
7.071084337349397,0.980722891566265
7.271686746987951,0.9734939759036144
7.4722891566265055,0.9662650602409638
7.6728915662650605,0.9602409638554217
7.873493975903615,0.9542168674698794
8.07409638554217,0.9493975903614458
8.274698795180724,0.944578313253012
8.475301204819278,0.9409638554216867
8.675903614457832,0.9361445783132529
8.876506024096386,0.9325301204819276
9.07710843373494,0.9289156626506023
9.277710843373494,0.9265060240963855
9.478313253012049,0.9228915662650602
9.678915662650603,0.9204819277108434
9.879518072289157,0.9180722891566264
10.080120481927711,0.9156626506024096
10.280722891566265,0.9132530120481928
10.48132530120482,0.9108433734939758
10.681927710843373,0.908433734939759
10.88253012048193,0.9060240963855422
11.083132530120483,0.9048192771084337
11.283734939759038,0.9024096385542169
11.484337349397592,0.9012048192771084
11.684939759036146,0.8999999999999999
11.8855421686747,0.8975903614457831
12.086144578313254,0.8963855421686746
12.286746987951808,0.8951807228915662
12.487349397590362,0.8939759036144578
12.687951807228917,0.8927710843373493
12.88855421686747,0.891566265060241
13.089156626506025,0.8903614457831325
13.289759036144579,0.889156626506024
13.490361445783133,0.8879518072289156
13.690963855421687,0.8867469879518072
13.891566265060241,0.8855421686746987
14.092168674698796,0.8843373493975903
14.29277108433735,0.8843373493975903
14.493373493975904,0.8831325301204819
14.693975903614458,0.8819277108433734
14.894578313253012,0.880722891566265
15.095180722891568,0.880722891566265
15.295783132530122,0.8795180722891566
15.496385542168676,0.8783132530120481
15.69698795180723,0.8783132530120481
15.897590361445785,0.8771084337349397
16.09819277108434,0.8771084337349397
16.29879518072289,0.8759036144578313
16.499397590361447,0.8759036144578313
16.7,0.8746987951807228
16.900602409638555,0.8746987951807228
17.101204819277108,0.8734939759036144
17.301807228915663,0.8734939759036144
17.50240963855422,0.872289156626506
17.70301204819277,0.872289156626506
17.903614457831328,0.8710843373493975
18.10421686746988,0.8710843373493975
18.304819277108436,0.8698795180722891
18.50542168674699,0.8698795180722891
18.706024096385544,0.8698795180722891
18.906626506024097,0.8686746987951807
19.107228915662652,0.8686746987951807
19.307831325301205,0.8686746987951807
19.50843373493976,0.8674698795180722
19.709036144578313,0.8674698795180722
19.90963855421687,0.8674698795180722
20.11024096385542,0.8662650602409638
20.310843373493977,0.8662650602409638
20.51144578313253,0.8662650602409638
20.712048192771086,0.8650602409638554
20.912650602409638,0.8650602409638554
21.113253012048194,0.8650602409638554
21.313855421686746,0.8638554216867469
21.514457831325302,0.8638554216867469
21.715060240963858,0.8638554216867469
21.91566265060241,0.8638554216867469
22.116265060240966,0.8626506024096385
22.31686746987952,0.8626506024096385
22.517469879518075,0.8626506024096385
22.718072289156627,0.8626506024096385
22.918674698795183,0.8614457831325301
23.119277108433735,0.8614457831325301
23.31987951807229,0.8614457831325301
23.520481927710843,0.8614457831325301
23.7210843373494,0.8614457831325301
23.92168674698795,0.8602409638554216
24.122289156626508,0.8602409638554216
24.32289156626506,0.8602409638554216
24.523493975903616,0.8602409638554216
24.72409638554217,0.8590361445783132
24.924698795180724,0.8590361445783132
25.125301204819277,0.8590361445783132
25.325903614457832,0.8590361445783132
25.526506024096385,0.8590361445783132
25.72710843373494,0.8590361445783132
25.927710843373497,0.8578313253012048
26.12831325301205,0.8578313253012048
26.328915662650605,0.8578313253012048
26.529518072289157,0.8578313253012048
26.730120481927713,0.8578313253012048
26.930722891566266,0.8578313253012048
27.13132530120482,0.8566265060240963
27.331927710843374,0.8566265060240963
27.53253012048193,0.8566265060240963
27.733132530120482,0.8566265060240963
27.933734939759038,0.8566265060240963
28.13433734939759,0.8566265060240963
28.334939759036146,0.8566265060240963
28.5355421686747,0.8554216867469879
28.736144578313255,0.8554216867469879
28.936746987951807,0.8554216867469879
29.137349397590363,0.8554216867469879
29.337951807228915,0.8554216867469879
29.53855421686747,0.8554216867469879
29.739156626506023,0.8554216867469879
29.93975903614458,0.8542168674698795
30.140361445783135,0.8542168674698795
30.340963855421688,0.8542168674698795
30.541566265060244,0.8542168674698795
30.742168674698796,0.8542168674698795
30.942771084337352,0.8542168674698795
31.143373493975904,0.8542168674698795
31.34397590361446,0.8542168674698795
31.544578313253012,0.8542168674698795
31.74518072289157,0.853012048192771
31.94578313253012,0.853012048192771
32.14638554216867,0.853012048192771
32.34698795180723,0.853012048192771
32.54759036144578,0.853012048192771
32.748192771084334,0.853012048192771
32.94879518072289,0.853012048192771
33.149397590361446,0.853012048192771
33.349999999999994,0.853012048192771
33.55060240963855,0.853012048192771
33.751204819277106,0.8518072289156626
33.95180722891566,0.8518072289156626
34.15240963855421,0.8518072289156626
34.35301204819277,0.8518072289156626
34.55361445783132,0.8518072289156626
34.75421686746988,0.8518072289156626
