country,date,incidence,T
Austria,2011-01-31,9.247424680018622,
Austria,2012-02-20,4.893984070081852,55.0
Austria,2013-02-11,6.611753540275033,51.0
Austria,2014-03-10,1.8475628971033333,56.0
Austria,2015-02-02,6.782308474793321,47.0
Austria,2016-02-08,4.9209506498458655,53.0
Austria,2017-01-09,5.468717511687959,48.0
Austria,2018-01-22,7.826464816467699,54.0
Austria,2019-02-25,5.533417493978456,57.0
Belgium,2010-01-18,0.5682934318728886,
Belgium,2011-01-17,7.461730202575207,52.0
Belgium,2012-01-30,8.94809273569719,54.0
Belgium,2013-02-04,9.862656959958665,53.0
Belgium,2014-02-24,3.372160261691626,55.0
Belgium,2015-02-02,7.192846760603377,49.0
Belgium,2016-02-29,3.8194567748723114,56.0
Belgium,2017-01-30,4.830944084646464,48.0
Belgium,2018-02-12,4.354524078127797,54.0
Belgium,2019-02-18,3.3263101374697457,53.0
Bulgaria,2010-01-18,2.6694500132137775,
Bulgaria,2011-01-31,1.356359556269684,54.0
Bulgaria,2012-02-20,3.523362358792446,55.0
Bulgaria,2013-02-18,2.647850480431442,52.0
Bulgaria,2014-01-20,4.59387834345634,48.0
Bulgaria,2015-02-02,4.190037203501485,54.0
Bulgaria,2016-02-15,2.131971600432705,54.0
Bulgaria,2017-01-02,6.844639651341403,46.0
Bulgaria,2018-01-22,7.649762459576103,55.0
Bulgaria,2019-01-28,9.52383871375675,53.0
Czechia,2010-02-08,0.6842123474524134,
Czechia,2011-01-31,2.542338889588901,51.0
Czechia,2012-03-19,2.7389582614845893,59.0
Czechia,2013-01-28,4.795024353928693,45.0
Czechia,2015-02-09,4.798723422049977,106.0
Czechia,2016-02-15,1.3715928848971792,53.0
Czechia,2017-01-09,2.548227209111582,47.0
Czechia,2017-04-17,0.19601747762396787,14.0
Czechia,2018-02-19,3.4316305268909826,44.0
Czechia,2019-02-04,2.3540271214919084,50.0
Germany,2010-01-25,0.16471474981994325,
Germany,2011-02-07,2.321867729633349,54.0
Germany,2012-03-05,0.8415449517021573,56.0
Germany,2013-02-04,2.4464780929507546,48.0
Germany,2014-03-10,0.5225362329526909,57.0
Germany,2015-02-16,2.3958560301870455,49.0
Germany,2016-03-07,1.9266281620222296,55.0
Germany,2017-01-30,2.6563728347837463,47.0
Germany,2018-02-26,3.4501953865133537,56.0
Germany,2019-02-11,1.94236461468699,50.0
Denmark,2010-02-01,2.349166353143311,
Denmark,2011-01-03,5.401975199819964,48.0
Denmark,2012-02-13,1.0765864973373145,58.0
Denmark,2013-02-18,5.185222773083601,53.0
Denmark,2014-02-10,2.13809880396891,51.0
Denmark,2015-02-16,2.8408541098902735,53.0
Denmark,2016-02-01,3.5387236871122805,50.0
Denmark,2017-01-16,4.408081572219522,50.0
Denmark,2018-02-05,7.9071557932497365,55.0
Denmark,2019-02-04,14.00880572514674,52.0
Estonia,2010-01-18,3.3603618437633367,
Estonia,2011-01-24,54.63551156296577,53.0
Estonia,2012-03-12,23.428336103951008,59.0
Estonia,2013-03-04,27.34887343373664,51.0
Estonia,2014-02-24,27.813836073504607,51.0
Estonia,2015-02-09,46.54964451131772,50.0
Estonia,2016-02-08,38.080879701757986,52.0
Estonia,2017-01-09,38.763094244143765,48.0
Estonia,2018-02-19,25.992569590772987,58.0
Estonia,2019-02-04,35.300703650887016,50.0
Greece,2011-02-14,3.716606842742759,
Greece,2012-02-20,4.605166397122966,53.0
Greece,2013-02-25,1.6190735353606698,53.0
Greece,2014-02-10,1.1648307351305907,50.0
