country,date,incidence
Austria,2022-05-12,557.806
Austria,2022-05-13,543.12
Austria,2022-05-14,522.282
Austria,2022-05-15,500.021
Austria,2022-05-16,497.848
Austria,2022-05-17,475.396
Austria,2022-05-18,452.496
Austria,2022-05-19,428.254
Austria,2022-05-20,402.079
Austria,2022-05-21,376.398
Austria,2022-05-22,360.61
Austria,2022-05-23,335.681
Austria,2022-05-24,323.951
Austria,2022-05-25,310.448
Austria,2022-05-26,290.553
Austria,2022-05-27,278.248
Austria,2022-05-28,256.195
Austria,2022-05-29,242.116
Austria,2022-05-30,244.45
Austria,2022-05-31,244.354
Austria,2022-06-01,244.146
Austria,2022-06-02,251.145
Austria,2022-06-03,260.462
Austria,2022-06-04,284.48
Austria,2022-06-05,298.495
Austria,2022-06-06,306.373
Austria,2022-06-07,311.71
Austria,2022-06-08,311.423
Austria,2022-06-09,313.532
Austria,2022-06-10,345.525
Austria,2022-06-11,361.968
Austria,2022-06-12,383.014
Austria,2022-06-13,393.641
Austria,2022-06-14,405.994
Austria,2022-06-15,444.73
Austria,2022-06-16,496.777
Austria,2022-06-17,529.713
Austria,2022-06-18,538.326
Austria,2022-06-19,565.956
Austria,2022-06-20,615.255
Austria,2022-06-21,651.993
Austria,2022-06-22,709.267
Austria,2022-06-23,773.683
Austria,2022-06-24,811.428
Austria,2022-06-25,877.97
Austria,2022-06-26,927.445
Austria,2022-06-27,941.268
Austria,2022-06-28,962.026
Austria,2022-06-29,982.305
Austria,2022-06-30,1005.252
Austria,2022-07-01,1054.519
Austria,2022-07-02,1076.748
Austria,2022-07-03,1095.637
Austria,2022-07-04,1117.402
Austria,2022-07-05,1139.247
Austria,2022-07-06,1160.277
Austria,2022-07-07,1173.269
Austria,2022-07-08,1166.493
Austria,2022-07-09,1178.143
Austria,2022-07-10,1186.101
Austria,2022-07-11,1186.452
Austria,2022-07-12,1178.734
Austria,2022-07-13,1189.472
Austria,2022-07-14,1216.943
Austria,2022-07-15,1229.024
Austria,2022-07-16,1260.92
Austria,2022-07-17,1287.303
Austria,2022-07-18,1317.602
Austria,2022-07-19,1332.975
Austria,2022-07-20,1356.498
Austria,2022-07-21,1357.121
Austria,2022-07-22,1365.031
Austria,2022-07-23,1339.91
Austria,2022-07-24,1319.232
Austria,2022-07-25,1291.075
Austria,2022-07-26,1274.455
Austria,2022-07-27,1225.444
Austria,2022-07-28,1168.427
Austria,2022-07-29,1096.675
Austria,2022-07-30,1031.524
Austria,2022-07-31,964.902
Austria,2022-08-01,919.662
Austria,2022-08-02,872.776
Austria,2022-08-03,833.209
Austria,2022-08-04,785.764
Austria,2022-08-05,750.815
Austria,2022-08-06,725.534
Austria,2022-08-07,708.436
Austria,2022-08-08,692.679
Austria,2022-08-09,684.529
